pokemon_id,name,species,weight,height,type1,type2,sprite,artwork,shiny_artwork,hp,attack,defense,special_attack,special_defense,speed,gen,romanji,jap_name,flavor_text,female,male,gender_label,special_group
1,bulbasaur,Seed Pokémon,69,7,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/1.png,45,49,49,65,65,45,generation-i,Fushigidane,フシギダネ,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,12.5,87.5,Female 12.5% / Male 87.5%,Ordinary
2,ivysaur,Seed Pokémon,130,10,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/2.png,60,62,63,80,80,60,generation-i,Fushigisou,フシギソウ,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",12.5,87.5,Female 12.5% / Male 87.5%,Ordinary
3,venusaur,Seed Pokémon,1000,20,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/3.png,80,82,83,100,100,80,generation-i,Fushigibana,フシギバナ,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,12.5,87.5,Female 12.5% / Male 87.5%,Ordinary
4,charmander,Lizard Pokémon,85,6,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/4.png,39,52,43,60,50,65,generation-i,Hitokage,ヒトカゲ,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",12.5,87.5,Female 12.5% / Male 87.5%,Ordinary
5,charmeleon,Flame Pokémon,190,11,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/5.png,58,64,58,80,65,80,generation-i,Lizardo,リザード,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",12.5,87.5,Female 12.5% / Male 87.5%,Ordinary
6,charizard,Flame Pokémon,905,17,fire,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/6.png,78,84,78,109,85,100,generation-i,Lizardon,リザードン,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,12.5,87.5,Female 12.5% / Male 87.5%,Ordinary
7,squirtle,Tiny Turtle Pokémon,90,5,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/7.png,44,48,65,50,64,43,generation-i,Zenigame,ゼニガメ,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",12.5,87.5,Female 12.5% / Male 87.5%,Ordinary
8,wartortle,Turtle Pokémon,225,10,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/8.png,59,63,80,65,80,58,generation-i,Kameil,カメール,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",12.5,87.5,Female 12.5% / Male 87.5%,Ordinary
9,blastoise,Shellfish Pokémon,855,16,water,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/9.png,79,83,100,85,105,78,generation-i,Kamex,カメックス,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,12.5,87.5,Female 12.5% / Male 87.5%,Ordinary
10,caterpie,Worm Pokémon,29,3,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10.png,45,30,35,20,20,45,generation-i,Caterpie,キャタピー,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
11,metapod,Cocoon Pokémon,99,7,bug,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/11.png,50,20,55,25,25,30,generation-i,Trancell,トランセル,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
12,butterfree,Butterfly Pokémon,320,11,bug,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/12.png,60,45,50,90,80,70,generation-i,Butterfree,バタフリー,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
13,weedle,Hairy Bug Pokémon,32,3,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/13.png,40,35,30,20,20,50,generation-i,Beedle,ビードル,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
14,kakuna,Cocoon Pokémon,100,6,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/14.png,45,25,50,25,25,35,generation-i,Cocoon,コクーン,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
15,beedrill,Poison Bee Pokémon,295,10,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/15.png,65,90,40,45,80,75,generation-i,Spear,スピアー,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
16,pidgey,Tiny Bird Pokémon,18,3,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/16.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/16.png,40,45,40,35,35,56,generation-i,Poppo,ポッポ,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
17,pidgeotto,Bird Pokémon,300,11,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/17.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/17.png,63,60,55,50,50,71,generation-i,Pigeon,ピジョン,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
18,pidgeot,Bird Pokémon,395,15,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/18.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/18.png,83,80,75,70,70,101,generation-i,Pigeot,ピジョット,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
